distance id optim_v-1 optim_v-2 optim_v-3 optim_v-4 optim_v-5 optim_v-6 optim_v-7 optim_v-8 optim_v-9 optim_v-10 optim_v-11 optim_v-12 optim_v-13 optim_v-14 optim_v-15 optim_v-16 
8.66199 129 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329606 0.4169789 
8.591323 130 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329586 0.4169789 
8.667456 131 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169799 
8.58719 132 0.8031775 0.5440016 0.7845344 0.648669 0.4180158 0.3887391 0.2084936 0.576704 0.8486169 0.07516184 0.6686251 0.317752 0.5796193 0.06836259 0.7329596 0.4169779 
6.566123 133 0.6509006 0.1912063 0.6178338 0.3768524 0.7414248 0.6894974 0.3698001 0.2492099 0.7314954 0.1333128 0.4122482 0.5635893 0.2543807 0.1212531 0.5263567 0.7395856 
6.569056 134 0.6509016 0.1912063 0.6178338 0.3768524 0.7414248 0.6894974 0.3698001 0.2492099 0.7314954 0.1333128 0.4122482 0.5635893 0.2543807 0.1212531 0.5263567 0.7395856 
6.567456 135 0.6508996 0.1912063 0.6178338 0.3768524 0.7414248 0.6894974 0.3698001 0.2492099 0.7314954 0.1333128 0.4122482 0.5635893 0.2543807 0.1212531 0.5263567 0.7395856 
6.558256 136 0.6509006 0.1912073 0.6178338 0.3768524 0.7414248 0.6894974 0.3698001 0.2492099 0.7314954 0.1333128 0.4122482 0.5635893 0.2543807 0.1212531 0.5263567 0.7395856 
6.566123 137 0.6509006 0.1912053 0.6178338 0.3768524 0.7414248 0.6894974 0.3698001 0.2492099 0.7314954 0.1333128 0.4122482 0.5635893 0.2543807 0.1212531 0.5263567 0.7395856 
6.564123 138 0.6509006 0.1912063 0.6178348 0.3768524 0.7414248 0.6894974 0.3698001 0.2492099 0.7314954 0.1333128 0.4122482 0.5635893 0.2543807 0.1212531 0.5263567 0.7395856 
6.480256 139 0.6509006 0.1912063 0.6178328 0.3768524 0.7414248 0.6894974 0.3698001 0.2492099 0.7314954 0.1333128 0.4122482 0.5635893 0.2543807 0.1212531 0.5263567 0.7395856 
6.550923 140 0.6509006 0.1912063 0.6178338 0.3768534 0.7414248 0.6894974 0.3698001 0.2492099 0.7314954 0.1333128 0.4122482 0.5635893 0.2543807 0.1212531 0.5263567 0.7395856 
6.54679 141 0.6509006 0.1912063 0.6178338 0.3768514 0.7414248 0.6894974 0.3698001 0.2492099 0.7314954 0.1333128 0.4122482 0.5635893 0.2543807 0.1212531 0.5263567 0.7395856 
6.54999 142 0.6509006 0.1912063 0.6178338 0.3768524 0.7414258 0.6894974 0.3698001 0.2492099 0.7314954 0.1333128 0.4122482 0.5635893 0.2543807 0.1212531 0.5263567 0.7395856 
6.482656 143 0.6509006 0.1912063 0.6178338 0.3768524 0.7414238 0.6894974 0.3698001 0.2492099 0.7314954 0.1333128 0.4122482 0.5635893 0.2543807 0.1212531 0.5263567 0.7395856 
6.48079 144 0.6509006 0.1912063 0.6178338 0.3768524 0.7414248 0.6894984 0.3698001 0.2492099 0.7314954 0.1333128 0.4122482 0.5635893 0.2543807 0.1212531 0.5263567 0.7395856 
6.56399 145 0.6509006 0.1912063 0.6178338 0.3768524 0.7414248 0.6894964 0.3698001 0.2492099 0.7314954 0.1333128 0.4122482 0.5635893 0.2543807 0.1212531 0.5263567 0.7395856 
6.482256 146 0.6509006 0.1912063 0.6178338 0.3768524 0.7414248 0.6894974 0.3698011 0.2492099 0.7314954 0.1333128 0.4122482 0.5635893 0.2543807 0.1212531 0.5263567 0.7395856 
6.483056 147 0.6509006 0.1912063 0.6178338 0.3768524 0.7414248 0.6894974 0.3697991 0.2492099 0.7314954 0.1333128 0.4122482 0.5635893 0.2543807 0.1212531 0.5263567 0.7395856 
6.559323 148 0.6509006 0.1912063 0.6178338 0.3768524 0.7414248 0.6894974 0.3698001 0.2492109 0.7314954 0.1333128 0.4122482 0.5635893 0.2543807 0.1212531 0.5263567 0.7395856 
